label_flag,rows,columns
8,1271,25
distance,speed_down_aw0,level_flag_down_aw0,level_output_down_aw0,speed_down_aw1,level_flag_down_aw1,level_output_down_aw1,speed_down_aw2,level_flag_down_aw2,level_output_down_aw2,speed_down_aw3,level_flag_down_aw3,level_output_down_aw3,speed_up_aw0,level_flag_up_aw0,level_output_up_aw0,speed_up_aw1,level_flag_up_aw1,level_output_up_aw1,speed_up_aw2,level_flag_up_aw2,level_output_up_aw2,speed_up_aw3,level_flag_up_aw3,level_output_up_aw3
3040,28.33606189,3,13,0,0,0,0,0,0,0,0,0,32.47476638,1,59,0,0,0,0,0,0,0,0,0
3060,28.26479744,3,13,0,0,0,0,0,0,0,0,0,32.30331515,1,59,0,0,0,0,0,0,0,0,0
3080,28.19311308,3,13,0,0,0,0,0,0,0,0,0,32.12971835,1,59,0,0,0,0,0,0,0,0,0
3100,28.12100403,3,13,0,0,0,0,0,0,0,0,0,31.95391575,1,59,0,0,0,0,0,0,0,0,0
3120,28.04846555,3,13,0,0,0,0,0,0,0,0,0,31.77583447,1,59,0,0,0,0,0,0,0,0,0
3140,27.97549681,3,13,0,0,0,0,0,0,0,0,0,31.59914423,1,59,0,0,0,0,0,0,0,0,0
3160,27.89789887,3,13,0,0,0,0,0,0,0,0,0,31.42011023,1,59,0,0,0,0,0,0,0,0,0
3180,27.81983196,3,13,0,0,0,0,0,0,0,0,0,31.23865585,1,59,0,0,0,0,0,0,0,0,0
3200,27.74129055,3,13,0,0,0,0,0,0,0,0,0,31.05470661,1,59,0,0,0,0,0,0,0,0,0
3220,27.66246775,3,13,0,0,0,0,0,0,0,0,0,30.8681768,1,59,0,0,0,0,0,0,0,0,0
3240,27.58344077,3,13,0,0,0,0,0,0,0,0,0,30.67897921,1,59,0,0,0,0,0,0,0,0,0
3260,27.50420788,3,13,0,0,0,0,0,0,0,0,0,30.48702625,1,59,0,0,0,0,0,0,0,0,0
3280,27.42476728,3,13,0,0,0,0,0,0,0,0,0,30.29222133,1,59,0,0,0,0,0,0,0,0,0
3300,27.34511719,3,13,0,0,0,0,0,0,0,0,0,30.09446135,1,59,0,0,0,0,0,0,0,0,0
3320,27.26525579,3,13,0,0,0,0,0,0,0,0,0,29.89364178,1,59,0,0,0,0,0,0,0,0,0
3340,27.18518122,3,13,0,0,0,0,0,0,0,0,0,29.68965118,1,59,0,0,0,0,0,0,0,0,0
3360,27.10489161,3,13,0,0,0,0,0,0,0,0,0,29.48236479,1,59,0,0,0,0,0,0,0,0,0
3380,27.02438505,3,13,0,0,0,0,0,0,0,0,0,29.27165928,1,59,0,0,0,0,0,0,0,0,0
3400,26.94365961,3,13,0,0,0,0,0,0,0,0,0,29.05739877,1,59,0,0,0,0,0,0,0,0,0
3420,26.86271334,3,13,0,0,0,0,0,0,0,0,0,28.83943712,1,59,0,0,0,0,0,0,0,0,0
3440,26.78154423,3,13,0,0,0,0,0,0,0,0,0,28.61762238,1,59,0,0,0,0,0,0,0,0,0
3460,26.70015029,3,13,0,0,0,0,0,0,0,0,0,28.39178562,1,59,0,0,0,0,0,0,0,0,0
3480,26.62072954,3,13,0,0,0,0,0,0,0,0,0,28.15754454,1,59,0,0,0,0,0,0,0,0,0
3500,26.54329883,3,13,0,0,0,0,0,0,0,0,0,27.91879841,1,59,0,0,0,0,0,0,0,0,0
3520,26.46566254,3,13,0,0,0,0,0,0,0,0,0,27.67533828,1,59,0,0,0,0,0,0,0,0,0
3540,26.38781886,3,13,0,0,0,0,0,0,0,0,0,27.42693491,1,59,0,0,0,0,0,0,0,0,0
3560,26.30976596,3,13,0,0,0,0,0,0,0,0,0,27.17334175,1,59,0,0,0,0,0,0,0,0,0
3580,26.231502,3,13,0,0,0,0,0,0,0,0,0,26.91429471,1,59,0,0,0,0,0,0,0,0,0
3600,26.15302508,3,13,0,0,0,0,0,0,0,0,0,26.64951691,1,59,0,0,0,0,0,0,0,0,0
3620,26.0743333,3,13,0,0,0,0,0,0,0,0,0,26.37867551,1,59,0,0,0,0,0,0,0,0,0
3640,25.99542473,3,13,0,0,0,0,0,0,0,0,0,26.10144642,1,59,0,0,0,0,0,0,0,0,0
3660,25.91629739,3,13,0,0,0,0,0,0,0,0,0,25.81743868,1,59,0,0,0,0,0,0,0,0,0
3680,25.83694929,3,13,0,0,0,0,0,0,0,0,0,25.53403978,1,59,0,0,0,0,0,0,0,0,0
3700,25.74976833,3,13,0,0,0,0,0,0,0,0,0,25.24331487,1,59,0,0,0,0,0,0,0,0,0
3720,25.66231502,3,13,0,0,0,0,0,0,0,0,0,24.94479697,1,59,0,0,0,0,0,0,0,0,0
3740,25.57458659,3,13,0,0,0,0,0,0,0,0,0,24.6379641,1,59,0,0,0,0,0,0,0,0,0
3760,25.48658021,3,44,0,0,0,0,0,0,0,0,0,24.32224285,1,59,0,0,0,0,0,0,0,0,0
3780,25.12238712,3,44,0,0,0,0,0,0,0,0,0,23.99699277,1,59,0,0,0,0,0,0,0,0,0
3800,24.7529381,3,44,0,0,0,0,0,0,0,0,0,23.66150224,1,59,0,0,0,0,0,0,0,0,0
3820,24.37799461,3,44,0,0,0,0,0,0,0,0,0,23.31495422,1,59,0,0,0,0,0,0,0,0,0
3840,23.9972996,3,44,0,0,0,0,0,0,0,0,0,22.95642828,1,59,0,0,0,0,0,0,0,0,0
3860,23.61057536,3,44,0,0,0,0,0,0,0,0,0,22.58488544,1,59,0,0,0,0,0,0,0,0,0
3880,23.21752116,3,44,0,0,0,0,0,0,0,0,0,22.19913911,1,59,0,0,0,0,0,0,0,0,0
3900,22.81781047,3,44,0,0,0,0,0,0,0,0,0,21.79778961,1,59,0,0,0,0,0,0,0,0,0
3920,22.41108775,3,44,0,0,0,0,0,0,0,0,0,21.37924384,1,59,0,0,0,0,0,0,0,0,0
3940,21.99696471,3,44,0,0,0,0,0,0,0,0,0,20.94157231,1,59,0,0,0,0,0,0,0,0,0
3960,21.57501594,3,44,0,0,0,0,0,0,0,0,0,20.48253302,1,59,0,0,0,0,0,0,0,0,0
3980,21.14477375,3,44,0,0,0,0,0,0,0,0,0,19.99943394,1,59,0,0,0,0,0,0,0,0,0
4000,20.70572199,3,44,0,0,0,0,0,0,0,0,0,19.47852992,1,59,0,0,0,0,0,0,0,0,0
4020,20.26696129,3,44,0,0,0,0,0,0,0,0,0,18.92509802,1,59,0,0,0,0,0,0,0,0,0
4040,19.78942649,3,44,0,0,0,0,0,0,0,0,0,18.26798724,1,59,0,0,0,0,0,0,0,0,0
4060,19.27024967,3,44,0,0,0,0,0,0,0,0,0,17.55742667,1,59,0,0,0,0,0,0,0,0,0
4080,18.73685436,3,44,0,0,0,0,0,0,0,0,0,16.78090241,1,59,0,0,0,0,0,0,0,0,0
4100,18.18799134,3,44,0,0,0,0,0,0,0,0,0,15.92426245,1,59,0,0,0,0,0,0,0,0,0
4120,17.37164043,3,83,0,0,0,0,0,0,0,0,0,15.01501647,1,59,0,0,0,0,0,0,0,0,0
4140,16.24766111,3,83,0,0,0,0,0,0,0,0,0,14.04670223,1,59,0,0,0,0,0,0,0,0,0
4160,15.04031666,3,83,0,0,0,0,0,0,0,0,0,13.00612143,1,59,0,0,0,0,0,0,0,0,0
4180,13.72764248,3,83,0,0,0,0,0,0,0,0,0,11.87427388,1,59,0,0,0,0,0,0,0,0,0
4200,12.2759155,3,83,0,0,0,0,0,0,0,0,0,10.62199992,1,59,0,0,0,0,0,0,0,0,0
4220,10.62833806,3,83,0,0,0,0,0,0,0,0,0,9.200215888,1,59,0,0,0,0,0,0,0,0,0
4240,8.67407096,3,83,0,0,0,0,0,0,0,0,0,7.513222491,1,59,0,0,0,0,0,0,0,0,0
4260,6.126454563,3,83,0,0,0,0,0,0,0,0,0,5.313972556,1,59,0,0,0,0,0,0,0,0,0
4280,0,3,83,0,0,0,0,0,0,0,0,0,0,3,63,0,0,0,0,0,0,0,0,0
4300,6.829501706,1,97,0,0,0,0,0,0,0,0,0,5.706771153,3,63,0,0,0,0,0,0,0,0,0
